"concept_id:ID","name",":LABEL"
"b0495824579d0626e7ebc28d778dd29d97317a02d41b6b762c1fd4cd0e101274","experimentation","Concept"
"6caaa70186827ae2b5766250b0fecc412c93bf3658ef6052c1ca826b7f17fc60","재산","Concept"
"65466f692605ba8602699e7ffb771e5bff7f137973f04f445bc08e3d510ca1a2","routine","Concept"
"a5137cfcb38ddab735ee317be57da3a9cb5a208e01e7b7866117fca35a4e3f96","mutualism","Concept"
"b290f46f921dffe1602883d264a500d5034acd7e3eafd8f7671a68adc2bf389d","완료일","Concept"
"eb2c1ab0123050e5db8c3b3f6631c2108fc60d589d2f0d21d280c0bf037c13ce","terms","Concept"
"261f6a636e1837fd8f8486409dc1f50d36c573e8bf12013451283edc46eb32b8","labor law","Concept"
"efe8db9808e0e8e9bae58e43157994de84aa6855d91762848140bb62ff5e8595","변화","Concept"
"6ed29ee1ab96ce8f5a4e8b19b413c8c2645e13242be100652fb4ed871a34a692","takeover","Concept"
"60ec40cc08778bb68f06d96a3e41062f75eb98f0a5be773e859c34708d45010e","party","Concept"
"14a5ac75e93a13fa765631c7aefdba60fa01a8eeda4a9c132b5c49ab64641a54","수순","Concept"
"48bed4fe9bd0a42baad86448ecd22ddd0c9953f280564921e18da3665c62f004","advisor","Concept"
"db189827fc072d43a5402831dd9102a22981a634ceda32f0c2e324e247c5b49c","금융일","Concept"
"5e3542e75b089600c42b993d14a19a2fb74a6c7e71172d180aa1cbad71aa959d","결정","Concept"
"162c0f22b9aacb4cc381b3244363550e6d0e7a6e49601ac0aa3640630bfc78bf","tax","Concept"
"50ea53745949b118a1e798c1759e9e8e2382689eac44d4c8b1c26339ee995f2f","nondisclosure","Concept"
"4d038680e9eeb130e06722a5450f6f4eacef490c2a9aa9defed747579ed48700","levy","Concept"
"bffeca5614c6174081449ed359c0da10ced58f710a516b7b926b4c1cdd118274","시너지","Concept"
"eebb214917039d5ee8073461ce35619ebf3f7255e02bf3b63796994e58e8a8d8","legal case","Concept"
