text_id:ID,original_text,numeric_id,:LABEL
f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,# 주식매매계약서,0,Text
fd94bcca05604116fdf7c658dfe91a72941d3bf513f8e2e789b4ab276392174e,## [교육/연구 목적 전용 - 실제 사용 절대 금지] **계약일자:** 2025년 1월 1일 **계약 당사자:** - 매도인: 주식회사 뉴파이낸스 (사업자등록번호: 303-03-03030) - 매수인: 주식회사 크사이인베스트 (사업자등록번호: 404-04-04040) - 대상회사: 주식회사 오미크론테크 (사업자등록번호: 505-05-05050) ---,1,Text
2bd9204a054d103e28ae763976169403bb7ea973a3e3f208bd5018fecfe556f1,## 제1장 총칙,2,Text
74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,"### 제1조 (목적) 본 계약은 매도인이 보유한 대상회사 발행 보통주식 10,000,000주(이하 ""매매주식"")를 매수인에게 매도하고, 매수인이 이를 매수함에 있어 필요한 제반 사항을 규정함을 목적으로 한다.",3,Text
21445b04740702536c8993a157184c09dd7b036c27dc0f8ecf8112e1104d936c,"### 제2조 (정의) 본 계약에서 사용되는 용어의 정의는 다음과 같다: 1. ""거래종결일""이란 제43조에 따라 계약일로부터 90일 후를 의미한다. 2. ""영업일""이란 대한민국의 은행이 정상 영업하는 날을 의미한다. 3. ""운전자본""이란 제77조에 정의된 바에 따른다.",4,Text
d3431731d25d1b37677c3ec58d81426e94399e1626cb53c5cbd6f36c482400d7,### 제3조 (선의와 신뢰) 양 당사자는 본 계약의 체결 및 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,5,Text
8134f4459c61c832b9daeedc4e5ef6ada317f540634e118f05e31d95b9bab831,### 제4조 (계약의 완전성) 본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,6,Text
ce893e79c4ed72587b35d9c241abae38ad8b37f0e2f3bf067ce9ba476f29f396,"### 제5조 (기준 매매가격) ① 매매주식의 기준 매매가격은 금 일천억원(₩100,000,000,000)으로 한다. ② 최종 매매가격은 제14조의 조정 메커니즘에 따라 결정된다. ③ 주당 기준가격은 금 일만원(₩10,000)으로 한다.",7,Text
9d4428ad201e95e29d36cf70b64dd33abf63deca483bee4501a337d1739488aa,### 제6조 (공정성) 모든 가격 조정은 공정하고 객관적인 기준에 따른다.,8,Text
6f24b971d3e9c6b47a90762bad49ff8f6faae81cf6cd7f24c9f50c27434ca4ed,### 제7조 (진술보증 기준일) 모든 진술과 보증은 계약 체결일과 거래종결일 기준이다.,9,Text
4431c5d48ee68acf2036519f2dbca833409183e77c7df72825c1e7412de75a92,### 제8조 (비밀유지) 각 당사자는 비밀정보를 보호한다.,10,Text
cce61ecb16196a269f435d4dc1194bb4c020b51cc7f71325cdadf70a30a7b415,### 제9조 (대금지급) 조정된 최종 매매가격을 거래종결일에 지급한다.,11,Text
6cfe36f2b69ef82a1c069da8fd886348a553f902ffdcb54acce2bdd2e0121fac,### 제10조 (계약 해석) 대한민국 법률에 따라 해석한다.,12,Text
9ab3deab8d73c371d9302dcc3c07a9f711c9f14a8680ea7872dcd7424220a9e0,## 제2장 매매조건,13,Text
1c7dc67e1b1bf1b7a3c600c6efb4c647e942a096a20ad010c3c39bf1dd31d918,### 제11조 (주식 양도) 거래종결일에 매매주식을 양도한다.,14,Text
21ed1535ea2212c3a029a3b4c93e8399debac0b7916edc90c36593da19ee187b,### 제12조 (완전한 권리) 매수인은 제한 없는 완전한 소유권을 취득한다.,15,Text
50d57877df403d357cbbcaa34756a53f2f939c5f1e3fae477ae149e4c6786475,### 제13조 (조정 메커니즘 개요) 매매가격은 운전자본과 부채 변동에 따라 조정된다.,16,Text
6a823d1dbaf56dfd22e110a42cd1ba930787121a78160dce086f9ea80719f4a1,"### 제14조 (운전자본 조정) ① 운전자본 증감분은 매매가격에 100% 반영된다. ② 목표 운전자본 대비 실제 운전자본의 차이를 조정한다. ③ 증가 시 가격 상향, 감소 시 가격 하향 조정한다.",17,Text
c01b45effa04cdd32c9329db64e343dfa70c8c1407afd536398e6ebc48b74218,### 제15조 (주식 상태) 매매주식은 제한 없이 양도된다.,18,Text
7d6089273671ac8caa956c4be120f575d4819374cbccbfb0906045f810cbb1d5,### 제16조 (경업금지) 3년간 경쟁 사업 금지한다.,19,Text
669f70acd9d9c3185dd31545a303eb4406100f2f7f66c385f66e1f915bbca638,### 제17조 (인력 유지) 핵심인력 유지 노력한다.,20,Text
dba615bf6c0986233c055438cf997527a9dac199ee3398878d3b46eb8c505a62,### 제18조 (고객 관계) 고객 관계를 원만히 유지한다.,21,Text
477b835c8d312e18ff45946ecf1f33a77c94c8e9fb8af207730e3f663ee7e6f8,### 제19조 (라이선스) 모든 라이선스 유효 유지한다.,22,Text
e2ce968230bc8ede784907949f2d895d8341f7bd9011bb8b0c10fa88301ccef8,### 제20조 (보험) 적절한 보험 유지한다.,23,Text
