text_id:ID,original_text,numeric_id,:LABEL
f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,# 주식매매계약서,0,Text
3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,## [교육/연구 목적 전용 - 실제 사용 절대 금지] **계약일자:** 2025년 1월 1일 **계약 당사자:** - 매도인: 주식회사 카파벤처스 (사업자등록번호: 999-99-99999) - 매수인: 주식회사 람다홀딩스 (사업자등록번호: 101-01-01010) - 대상회사: 주식회사 뮤테크놀로지 (사업자등록번호: 202-02-02020) ---,1,Text
2bd9204a054d103e28ae763976169403bb7ea973a3e3f208bd5018fecfe556f1,## 제1장 총칙,2,Text
54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,"### 제1조 (목적) 본 계약은 매도인이 보유한 대상회사 발행 보통주식 12,000,000주(이하 ""매매주식"")를 매수인에게 매도하고, 매수인이 이를 매수함에 있어 필요한 제반 사항을 규정함을 목적으로 한다.",3,Text
b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,"### 제2조 (기본 정의) 본 계약에서 사용되는 기본 용어의 정의는 다음과 같다: 1. ""거래종결일""이란 제51조에 따라 주식 양도가 완료되는 날을 의미한다. 2. ""영업일""이란 대한민국의 은행이 정상 영업하는 날을 의미한다. 3. ""서면""이란 문서, 이메일, 기타 서면 형태를 포함한다.",4,Text
d3431731d25d1b37677c3ec58d81426e94399e1626cb53c5cbd6f36c482400d7,### 제3조 (선의와 신뢰) 양 당사자는 본 계약의 체결 및 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,5,Text
8134f4459c61c832b9daeedc4e5ef6ada317f540634e118f05e31d95b9bab831,### 제4조 (계약의 완전성) 본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,6,Text
b61ffde74929c26e11afc6695bb1537cfd4ae238d63a2cb5afce0c7255ad0785,"### 제5조 (매매가격) ① 매매주식의 총 매매가격은 금 일천이백억원(₩120,000,000,000)으로 한다. ② 주당 매매가격은 금 일만원(₩10,000)으로 한다.",7,Text
09eb7dbc2f470b8b9b6491713bfc38661ad068a5fcc23ad820636e2a91a4106f,### 제6조 (투명성 원칙) 모든 거래 과정은 투명하고 공정하게 진행된다.,8,Text
3beae274b6d637339969e8e85974668f6b6ed8efb2614756cb1991b4c7acccc3,"### 제7조 (중요 사항 통지) ① 각 당사자는 중요한 사항 발생 시 상대방에게 ""적시 통지""해야 한다. ② 통지 불이행 시 관련 권리를 행사할 수 없다. ③ 통지의 구체적 방법은 관련 조항에 따른다.",9,Text
