text_id:ID,original_text,numeric_id,:LABEL
f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,# 주식매매계약서,0,Text
aa86433b7b84b644c9c5d6c460da3e7afe5cb77a22c675ecd8f84fcdc90cd65e,## [교육/연구 목적 전용 - 실제 사용 절대 금지] **계약일자:** 2025년 1월 1일 **계약 당사자:** - 매도인: 주식회사 에타캐피탈 (사업자등록번호: 666-66-66666) - 매수인: 주식회사 쎄타파트너스 (사업자등록번호: 777-77-77777) - 대상회사: 주식회사 아이오타솔루션 (사업자등록번호: 888-88-88888) ---,1,Text
2bd9204a054d103e28ae763976169403bb7ea973a3e3f208bd5018fecfe556f1,## 제1장 총칙,2,Text
c26fefe92d600753a779ff983d0c15e2c783d93d47b0f4264daf8f1e91dcebb0,"### 제1조 (목적) 본 계약은 매도인이 보유한 대상회사 발행 보통주식 20,000,000주(이하 ""매매주식"")를 매수인에게 매도하고, 매수인이 이를 매수함에 있어 필요한 제반 사항을 규정함을 목적으로 한다.",3,Text
2618adeed71a2c9a3874304da9f3e9821d7756edee3e422fbcfa2110c020822a,"### 제2조 (정의) 본 계약에서 사용되는 용어의 정의는 다음과 같다: 1. ""거래종결일""이란 제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날을 의미한다. 2. ""영업일""이란 대한민국의 은행이 정상 영업하는 날을 의미한다. 3. ""영업실적""이란 매출액, 영업이익, EBITDA 등 재무성과를 의미한다.",4,Text
d3431731d25d1b37677c3ec58d81426e94399e1626cb53c5cbd6f36c482400d7,### 제3조 (선의와 신뢰) 양 당사자는 본 계약의 체결 및 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,5,Text
ffc6efc8d460691f16fe90cd7749d3c25095d6b740b0adeebf8979e43a0e4111,"### 제4조 (계약의 완전성) 본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함하며, 이전의 모든 구두 또는 서면 합의를 대체한다.",6,Text
e6f74ddf8014d2d950f78c90bb63b6f2f46a4d602e34dc74aaf567af5bc6b1c2,"### 제5조 (매매가격) ① 매매주식의 총 매매가격은 금 일천억원(₩100,000,000,000)으로 한다. ② 주당 매매가격은 금 오천원(₩5,000)으로 한다.",7,Text
aabd26478149b72056a0322d7185bea0736fe8495437d11230ac5d4c507801a2,"### 제6조 (진술보증의 기준일) 달리 명시되지 않는 한, 모든 진술과 보증은 본 계약 체결일과 각 대금 지급일을 기준으로 한다.",8,Text
e35759a2b9ed084ddee5776d02f489d195d0288949ec731b5dc1c590427e6919,### 제7조 (협력 의무) 양 당사자는 거래 완료를 위해 최선을 다해 협력한다.,9,Text
7bf78ae3847cafefe4484120385327d0d0f35df37e4008a5a37164dfc21aeff2,### 제8조 (비밀유지) ① 각 당사자는 본 계약과 관련하여 취득한 상대방의 비밀정보를 제3자에게 공개하지 않는다. ② 법령상 요구되거나 상대방의 서면 동의가 있는 경우는 예외로 한다.,10,Text
