"concept_id:ID","name",":LABEL"
"530a7c484d415d389b647acc3050145eca4dd0808b9204238f3ce43c975d4f43","transformation","Concept"
"36b37a86c36251677c80e4c26bd0281e6df9e96a95683ef91c6e4cbb094ea74f","contractual obligation","Concept"
"e4533821998dc8f7921cb8eae3ddc87ba387cea25e10e325a1e38bc99e348634","contractual relationship","Concept"
"460515a1f318a9c0143337d4fb61b1b73faa8c5db29eb9d7dae4d3933d20332f","위법행위","Concept"
"340b056403e061f10dc9d529cfa6889f8b7f6c9084a83e348db92a05b30ce18b","legal matter","Concept"
"ffd21d47bdd764447b00d2c09a7b0c84daaa41b0ab895e7970b9817213164291","infrastructure","Concept"
"60b17a29c2017d034f8f667873290c678302327cb3aebbca131bd8ca3dffbb3b","사법기관","Concept"
"75752b23253125a64456c3cac2803845251455f35d03547fdf0a3ecdb4c92ac6","document transfer","Concept"
"db9b899692b33061ef540c1eed4acadc35835df93583b0e2c52f0ce649aee721","accounting event","Concept"
"5e3542e75b089600c42b993d14a19a2fb74a6c7e71172d180aa1cbad71aa959d","결정","Concept"
"ce21500743620dcf40eebab42865771df089e39abc14cc9067599b0d6169d25a","효율","Concept"
"96e512f58e071bb7b5cd11431af41e6744256120a662e00a7c0915b47603603b","조건부","Concept"
"704d26eac601fade77aef310830ad3d45c60b8af119b98a3bc4a80b9c2a072a3","해석","Concept"
"4e8eb21bef4b34666582e8c9910705226b257cdfa1c928b858da80d54b1137a9","legislation","Concept"
"83b0e36f0dbd29a361552ef2c694b1fbfb5b479fe0bd73e85574c311e81811f9","legal responsibility","Concept"
"d1726146484d9c07aac1bbca034130219c5c35567b972340491f2ba94a9a3ab7","state","Concept"
"20f9fef3f5670e6725465d13ee5355de3b6801b4251591e6012adc62dc751915","risk management","Concept"
"ef9be5b2581463a96187ce481ea06552af0bc850f390087e9303eb009b5d410a","사람","Concept"
"a0d4595fc3926cad86bb94bc3b8cad7c174df2596d8001d224b388243ce8adfd","대응","Concept"
"13a034b9c0c50df9677eb44a9e280183e42c54221be0f19b16a1362a0447d9c3","classification","Concept"
"fab6b0030297f01189ea68b02e90e8a023f0275d03e798daa22848f701813813","valuation","Concept"
"b0ef346bf37878da3abdd5a9941b089bcde51269c344d2d7d0774b23132f9b95","liability review","Concept"
"e8fd312017369caeba0ba11dec7846a6c803bb05582cb2758ed1c8cdbf610de0","official approval","Concept"
"1bd11aa63dbe3cf323730556aa8c2e30a5a72d13660ff45be2b205b157a4bf2e","의무","Concept"
"8aa380745544a54d5d2bde773848006aa5875e9553479e797ecc3643c1daea48","interpretation","Concept"
"a439f0604b3d6210947fff88eb88c6ff555c9f8d283f61ece5e12b0ea6f71973","ambiguity","Concept"
"2aa1895357bc0b7b14e7a0024a79c8fb9d88449b3c5afcfad93754536b3982ab","legal document","Concept"
"7ddcfa88755df3572fbb1100f1dd7855e518175d019792b2ae5890d1c3449a67","transition","Concept"
"2b983a0b437d04e400f4b543ef4adcf6aad1f32cbb840c4fa47c42df0b11977a","statute","Concept"
"c30de0ed32ff27c0a4eddeba6bf8569f723ddfd138933bbc1583a206a68ce04d","payment condition","Concept"
"0e4df1400d83394c6a3e80b56315d0f6cb9e8f198deb790938f11d0ae2fc89b5","이해관계자","Concept"
"c8360d1b8380c5e4be4f65fd22cea2ca753d990825091673a1821aa56a35d785","closure","Concept"
"4571faab4338f717501abab5c86b6ffd73a9e1f665840a342d58e8dbdeb2ac95","process","Concept"
"d05f2257516935c2db04e0c565beb5a412d55469626ab2a2be33b65a3d68e4a9","capacity","Concept"
"bd3b60a22df0715336e687390ae830f94def9d1286fbbc0ecaabe48624937fdf","function","Concept"
"d580491c2fb426db394be42a74a07aef82baf4aea014366c5445aa0ff33f68c9","compromise","Concept"
