":START_ID",":END_ID","relation",":TYPE"
"계약","da7de9473012b6d7b993222683fcb51c7b2c8e705f7a94e3b067cb475260718c","has_concept","Concept"
"계약","6cbfc16e3fc78fa621c0629ec85d44b88a3149135ea4a489115a5d2696e559ba","has_concept","Concept"
"계약","e2295454f715e738107bd8b5f26471fccd10397645de74c996dbcb521d67ca2c","has_concept","Concept"
"계약","69f8174664be1f9577c0238b2932f128fbf6e0909bc945c5b8dc8ad8bfb85e2b","has_concept","Concept"
"계약","8342bb93ebad0865de0f879347228fdb0836b235ce4a7c1551822d4e4fb31cb9","has_concept","Concept"
"계약","2183374276d641702d30285c6fb547422d5adeee828bf81b50ddef3c29614c5d","has_concept","Concept"
"2025년 1월 1일","ad254d23eb4605ec82120ac71eb8e0618eafb285f8178aac7b9fadd9c023f8cd","has_concept","Concept"
"2025년 1월 1일","de43418876ebd131357e98eb899ed88428aef4c4214e29e712394c6725937291","has_concept","Concept"
"2025년 1월 1일","f40d2ba40494c39d90e673688bbd1c5242ab60ccd87288cc180d5cad489844d9","has_concept","Concept"
"2025년 1월 1일","e51617c4d937303ef7f6aad5f7b68f03d747067536207cc7eb2b3ded47ccfb71","has_concept","Concept"
"주식회사 알파벤처스","101e85a7dcd45012be51280d29bfd96a459b7f197177d20a2c1a45fb786f9cce","has_concept","Concept"
"주식회사 알파벤처스","0cdcf5ac0638a37142fe27b01d4345b549cd0bd030f0d9309867da5cb2972cad","has_concept","Concept"
"주식회사 알파벤처스","972affb50b73af2c6f0e355eabf0d3b0bdbb29d79b5a6f5e7059cca0003b5591","has_concept","Concept"
"주식회사 알파벤처스","3cb9a506394f7f2c3bb95686414746348ec8a513d5aff75fbc48df0dcfdeac07","has_concept","Concept"
"주식회사 알파벤처스","531b7b7244b5eb3b611c1ff2bca73710d6deb25058c5b922a172f524bc9b1db9","has_concept","Concept"
"주식회사 알파벤처스","1aa70037b514a74004bab904736171a73d8f311e86e55c52e86fbddf001371db","has_concept","Concept"
"000-00-00000","2f8a7b30addd4ca768db69101f83a03783c736dc7f4b13cf219bd300b01992d7","has_concept","Concept"
"000-00-00000","38efb5c9b49dcd4097f026950305d6d6057ca939887331bd0ff1b41600601f33","has_concept","Concept"
"000-00-00000","35a549427b6c123b6b5bc370b0b4c32bc6842009768003eeac385d142a74f357","has_concept","Concept"
"000-00-00000","8938256440bbc1148eea83bb247e0d0e39db2273ed82dd390c388e350abe6312","has_concept","Concept"
"000-00-00000","626fb4178fba44effc5207cb54ae879e923de32046b8bbc7e39ab47f751a325f","has_concept","Concept"
"주식회사 베타홀딩스","101e85a7dcd45012be51280d29bfd96a459b7f197177d20a2c1a45fb786f9cce","has_concept","Concept"
"주식회사 베타홀딩스","0cdcf5ac0638a37142fe27b01d4345b549cd0bd030f0d9309867da5cb2972cad","has_concept","Concept"
"주식회사 베타홀딩스","972affb50b73af2c6f0e355eabf0d3b0bdbb29d79b5a6f5e7059cca0003b5591","has_concept","Concept"
"주식회사 베타홀딩스","3cb9a506394f7f2c3bb95686414746348ec8a513d5aff75fbc48df0dcfdeac07","has_concept","Concept"
"주식회사 베타홀딩스","531b7b7244b5eb3b611c1ff2bca73710d6deb25058c5b922a172f524bc9b1db9","has_concept","Concept"
"111-11-11111","2f8a7b30addd4ca768db69101f83a03783c736dc7f4b13cf219bd300b01992d7","has_concept","Concept"
"111-11-11111","38efb5c9b49dcd4097f026950305d6d6057ca939887331bd0ff1b41600601f33","has_concept","Concept"
"111-11-11111","35a549427b6c123b6b5bc370b0b4c32bc6842009768003eeac385d142a74f357","has_concept","Concept"
"111-11-11111","8938256440bbc1148eea83bb247e0d0e39db2273ed82dd390c388e350abe6312","has_concept","Concept"
"111-11-11111","b96cb1c1003e41e5d515745df5e20bb40023f31af694d8c0138f22cc27868b40","has_concept","Concept"
"주식회사 감마테크","101e85a7dcd45012be51280d29bfd96a459b7f197177d20a2c1a45fb786f9cce","has_concept","Concept"
